player_id,Player,Matches,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,D Wide%.1,A Wide%.1,BP Wide%.1,2ndAgg
24,Francisco Cerundolo,28,0.193,0.307,0.525,0.267,0.226,0.366,0.5589999999999999,0.33799999999999997,0.486,0.527,0.58,0.145,0.217,0.45799999999999996,0.201,0.608,0.737,24
25,Carlos Alcaraz,100,0.239,0.373,0.557,0.32,0.284,0.441,0.581,0.408,0.45899999999999996,0.498,0.514,0.168,0.266,0.514,0.184,0.575,0.648,50
26,Lorenzo Musetti,37,0.231,0.337,0.519,0.3,0.27899999999999997,0.406,0.5489999999999999,0.384,0.39,0.5579999999999999,0.6759999999999999,0.156,0.231,0.466,0.26899999999999996,0.526,0.63,40
27,Yevgeny Kafelnikov,49,0.247,0.354,0.511,0.314,0.344,0.489,0.556,0.465,0.557,0.45,0.452,0.151,0.22,0.462,0.253,0.517,0.581,29
28,Lorenzo Sonego,30,0.289,0.415,0.515,0.365,0.365,0.508,0.551,0.479,0.55,0.465,0.49,0.14800000000000002,0.249,0.45799999999999996,0.228,0.503,0.643,11
29,Jimmy Connors,41,0.165,0.254,0.51,0.233,0.193,0.292,0.516,0.294,0.253,0.58,0.6559999999999999,0.135,0.221,0.496,0.21899999999999997,0.501,0.5579999999999999,19
30,Fernando Verdasco,41,0.264,0.377,0.48700000000000004,0.332,0.325,0.452,0.52,0.429,0.325,0.596,0.608,0.16899999999999998,0.268,0.428,0.41,0.428,0.37,47
31,Denis Shapovalov,88,0.305,0.45899999999999996,0.542,0.384,0.39799999999999996,0.58,0.584,0.53,0.355,0.5760000000000001,0.5710000000000001,0.193,0.325,0.48700000000000004,0.263,0.565,0.639,62
32,Grigor Dimitrov,117,0.278,0.38799999999999996,0.532,0.344,0.35600000000000004,0.49200000000000005,0.57,0.461,0.505,0.43799999999999994,0.43,0.166,0.243,0.474,0.13699999999999998,0.5,0.564,41
33,Mats Wilander,29,0.174,0.256,0.504,0.23399999999999999,0.204,0.303,0.524,0.292,0.521,0.461,0.456,0.13699999999999998,0.19699999999999998,0.457,0.355,0.36,0.33299999999999996,-9
34,John Isner,92,0.457,0.595,0.486,0.523,0.546,0.679,0.511,0.64,0.501,0.462,0.565,0.267,0.43,0.445,0.23199999999999998,0.524,0.691,36
35,Mikael Ymer,22,0.19899999999999998,0.28600000000000003,0.522,0.263,0.23199999999999998,0.344,0.5479999999999999,0.325,0.451,0.41100000000000003,0.369,0.139,0.177,0.469,0.29,0.17600000000000002,0.087,22
36,Ugo Humbert,20,0.306,0.418,0.557,0.376,0.397,0.54,0.607,0.51,0.41700000000000004,0.516,0.387,0.171,0.24,0.49200000000000005,0.047,0.531,0.6559999999999999,54
37,Marcos Baghdatis,25,0.28600000000000003,0.39299999999999996,0.503,0.345,0.402,0.544,0.568,0.509,0.546,0.415,0.433,0.16,0.22899999999999998,0.441,0.258,0.49200000000000005,0.611,43
38,Andre Agassi,165,0.261,0.369,0.534,0.322,0.322,0.44299999999999995,0.562,0.42,0.5489999999999999,0.575,0.613,0.185,0.281,0.493,0.267,0.665,0.762,34
39,Michael Chang,57,0.198,0.275,0.508,0.245,0.265,0.361,0.5489999999999999,0.35,0.496,0.5539999999999999,0.53,0.128,0.191,0.45899999999999996,0.397,0.52,0.534,8
40,Nicolas Almagro,20,0.24,0.36700000000000005,0.516,0.312,0.327,0.48700000000000004,0.5920000000000001,0.45299999999999996,0.384,0.48,0.537,0.132,0.223,0.43,0.18,0.524,0.5379999999999999,-10
41,Roger Federer,630,0.324,0.465,0.555,0.402,0.414,0.5820000000000001,0.603,0.54,0.48200000000000004,0.518,0.465,0.19399999999999998,0.299,0.495,0.29100000000000004,0.473,0.498,7
42,Tomas Berdych,95,0.301,0.418,0.512,0.364,0.42200000000000004,0.5710000000000001,0.5710000000000001,0.532,0.499,0.392,0.364,0.147,0.228,0.452,0.192,0.44299999999999995,0.49,21
43,Hyeon Chung,20,0.21899999999999997,0.314,0.513,0.27399999999999997,0.289,0.414,0.527,0.379,0.501,0.365,0.33299999999999996,0.124,0.18,0.49200000000000005,0.14300000000000002,0.43200000000000005,0.619,3
44,Cameron Norrie,59,0.243,0.34700000000000003,0.518,0.307,0.304,0.43,0.556,0.40299999999999997,0.305,0.617,0.6409999999999999,0.146,0.217,0.45399999999999996,0.23,0.523,0.578,26
45,Botic Van De Zandschulp,70,0.263,0.379,0.521,0.331,0.348,0.49,0.5529999999999999,0.45799999999999996,0.45299999999999996,0.34700000000000003,0.389,0.145,0.231,0.475,0.222,0.147,0.2,20
46,Andy Roddick,103,0.379,0.483,0.508,0.434,0.502,0.612,0.536,0.588,0.527,0.392,0.39799999999999996,0.185,0.28800000000000003,0.475,0.161,0.5760000000000001,0.7070000000000001,34
47,Nicolas Jarry,38,0.307,0.475,0.544,0.39399999999999996,0.389,0.57,0.581,0.524,0.45899999999999996,0.532,0.447,0.174,0.332,0.488,0.20800000000000002,0.623,0.644,43
48,Sam Querrey,35,0.39,0.505,0.484,0.449,0.5379999999999999,0.672,0.529,0.636,0.473,0.469,0.505,0.2,0.299,0.43799999999999994,0.354,0.47100000000000003,0.431,78
49,Lleyton Hewitt,123,0.27,0.358,0.53,0.32,0.38799999999999996,0.508,0.579,0.484,0.58,0.45899999999999996,0.485,0.161,0.222,0.485,0.48700000000000004,0.615,0.595,43
50,Ernests Gulbis,28,0.344,0.45,0.514,0.401,0.451,0.579,0.55,0.546,0.43799999999999994,0.43700000000000006,0.5,0.207,0.29100000000000004,0.47,0.23399999999999999,0.23800000000000002,0.231,85
51,Albert Ramos,35,0.19899999999999998,0.29600000000000004,0.517,0.259,0.23399999999999999,0.359,0.535,0.32799999999999996,0.239,0.539,0.504,0.15,0.203,0.485,0.252,0.43799999999999994,0.461,34
52,Lucas Pouille,42,0.302,0.415,0.515,0.368,0.397,0.541,0.5720000000000001,0.514,0.505,0.42700000000000005,0.51,0.196,0.27699999999999997,0.45299999999999996,0.268,0.39399999999999996,0.435,59
53,Janko Tipsarevic,30,0.257,0.354,0.513,0.314,0.358,0.486,0.551,0.45799999999999996,0.38799999999999996,0.36,0.326,0.14400000000000002,0.207,0.47200000000000003,0.138,0.45299999999999996,0.465,29
54,Alexander Bublik,56,0.374,0.488,0.488,0.43200000000000005,0.49700000000000005,0.628,0.535,0.594,0.41700000000000004,0.439,0.49700000000000005,0.24600000000000002,0.359,0.429,0.131,0.254,0.195,96
55,Holger Rune,44,0.252,0.395,0.542,0.33,0.311,0.47,0.563,0.43700000000000006,0.608,0.524,0.48200000000000004,0.177,0.31,0.51,0.41600000000000004,0.515,0.578,52
56,Reilly Opelka,54,0.461,0.586,0.486,0.516,0.5720000000000001,0.6890000000000001,0.506,0.654,0.503,0.442,0.44299999999999995,0.26899999999999996,0.42200000000000004,0.462,0.33299999999999996,0.54,0.8109999999999999,32
57,Taylor Fritz,71,0.32299999999999995,0.431,0.532,0.38,0.452,0.586,0.589,0.5489999999999999,0.532,0.46299999999999997,0.425,0.14800000000000002,0.22399999999999998,0.475,0.152,0.40399999999999997,0.504,32
58,Pete Sampras,167,0.38299999999999995,0.523,0.524,0.451,0.529,0.69,0.5710000000000001,0.65,0.48200000000000004,0.41,0.484,0.231,0.368,0.48,0.44299999999999995,0.36700000000000005,0.35700000000000004,95
59,Sebastian Korda,28,0.276,0.395,0.523,0.349,0.353,0.505,0.5720000000000001,0.47,0.46399999999999997,0.564,0.541,0.159,0.23199999999999998,0.45299999999999996,0.19699999999999998,0.505,0.652,41
60,Tommy Robredo,26,0.225,0.292,0.506,0.28,0.257,0.34,0.55,0.342,0.46799999999999997,0.514,0.547,0.177,0.21899999999999997,0.42200000000000004,0.184,0.32799999999999996,0.385,42
61,Kevin Anderson,46,0.385,0.508,0.507,0.449,0.494,0.626,0.555,0.5920000000000001,0.456,0.385,0.44799999999999995,0.204,0.32,0.446,0.252,0.424,0.627,50
62,Bjorn Borg,32,0.19899999999999998,0.289,0.555,0.252,0.27399999999999997,0.37200000000000005,0.5770000000000001,0.368,0.634,0.33399999999999996,0.27,0.122,0.218,0.526,0.44299999999999995,0.19399999999999998,0.134,8
63,Marat Safin,44,0.312,0.408,0.517,0.36,0.467,0.575,0.5539999999999999,0.556,0.39799999999999996,0.461,0.513,0.134,0.221,0.488,0.142,0.537,0.595,-4
64,Borna Coric,65,0.276,0.37200000000000005,0.52,0.335,0.353,0.479,0.555,0.446,0.452,0.45299999999999996,0.428,0.159,0.207,0.47,0.237,0.586,0.667,22
65,Alejandro Davidovich Fokina,39,0.21100000000000002,0.316,0.48200000000000004,0.276,0.245,0.373,0.507,0.341,0.45399999999999996,0.368,0.322,0.157,0.22,0.428,0.24600000000000002,0.19,0.198,39
66,Yoshihito Nishioka,39,0.183,0.253,0.518,0.23199999999999998,0.205,0.284,0.521,0.281,0.161,0.546,0.586,0.153,0.21,0.513,0.10800000000000001,0.555,0.6629999999999999,22
67,Sergi Bruguera,26,0.19,0.267,0.52,0.23800000000000002,0.24,0.325,0.561,0.32,0.47700000000000004,0.603,0.644,0.124,0.195,0.45899999999999996,0.203,0.6,0.732,5
68,Gael Monfils,103,0.29100000000000004,0.39399999999999996,0.509,0.35,0.377,0.501,0.546,0.47100000000000003,0.473,0.436,0.381,0.174,0.253,0.45399999999999996,0.444,0.335,0.23800000000000002,48
69,Thomas Muster,33,0.188,0.267,0.5479999999999999,0.243,0.22399999999999998,0.312,0.557,0.308,0.228,0.6809999999999999,0.711,0.13699999999999998,0.207,0.531,0.171,0.612,0.617,21
70,John Millman,25,0.247,0.314,0.5329999999999999,0.28800000000000003,0.294,0.377,0.562,0.36,0.504,0.508,0.557,0.174,0.217,0.488,0.275,0.415,0.449,-7
71,Miomir Kecmanovic,38,0.239,0.332,0.536,0.299,0.294,0.41600000000000004,0.564,0.392,0.408,0.423,0.41,0.16,0.212,0.496,0.13,0.502,0.494,14
72,Adrian Mannarino,49,0.266,0.34600000000000003,0.509,0.317,0.336,0.439,0.5329999999999999,0.419,0.366,0.619,0.545,0.165,0.209,0.47600000000000003,0.053,0.5589999999999999,0.6990000000000001,35
73,Martin Klizan,22,0.257,0.37200000000000005,0.524,0.319,0.342,0.47600000000000003,0.563,0.444,0.268,0.467,0.45299999999999996,0.138,0.235,0.47100000000000003,0.266,0.42,0.415,18
74,Leonardo Mayer,20,0.301,0.435,0.521,0.375,0.38,0.5379999999999999,0.535,0.498,0.561,0.513,0.544,0.193,0.298,0.5,0.40399999999999997,0.42200000000000004,0.419,70
75,Malek Jaziri,21,0.248,0.335,0.457,0.305,0.344,0.46,0.507,0.45,0.5329999999999999,0.525,0.708,0.145,0.20199999999999999,0.409,0.19699999999999998,0.466,0.562,24
76,Milos Raonic,87,0.4,0.544,0.517,0.474,0.521,0.682,0.574,0.638,0.528,0.51,0.455,0.217,0.345,0.449,0.28300000000000003,0.5489999999999999,0.7190000000000001,74
77,Alex Corretja,30,0.19699999999999998,0.287,0.528,0.249,0.263,0.38799999999999996,0.5820000000000001,0.36,0.43700000000000006,0.579,0.626,0.13,0.182,0.47100000000000003,0.196,0.598,0.617,16
78,Joao Sousa,29,0.253,0.344,0.502,0.313,0.32,0.43700000000000006,0.552,0.41700000000000004,0.507,0.524,0.647,0.158,0.21100000000000002,0.434,0.27,0.226,0.18600000000000003,26
79,Kei Nishikori,108,0.23800000000000002,0.34299999999999997,0.522,0.305,0.293,0.428,0.568,0.40299999999999997,0.46399999999999997,0.428,0.376,0.166,0.23,0.457,0.17,0.488,0.532,41
80,Pierre Hugues Herbert,20,0.34700000000000003,0.5,0.503,0.42200000000000004,0.43700000000000006,0.615,0.531,0.562,0.503,0.52,0.491,0.249,0.379,0.46799999999999997,0.222,0.431,0.6,105
81,David Ferrer,113,0.196,0.27399999999999997,0.511,0.251,0.237,0.342,0.544,0.326,0.451,0.35700000000000004,0.36200000000000004,0.14400000000000002,0.182,0.45899999999999996,0.23399999999999999,0.337,0.353,26
82,Sergiy Stakhovsky,20,0.325,0.45899999999999996,0.493,0.39399999999999996,0.436,0.6,0.514,0.5489999999999999,0.461,0.47600000000000003,0.42200000000000004,0.16899999999999998,0.263,0.46799999999999997,0.142,0.355,0.37200000000000005,50
83,Andreas Seppi,29,0.24600000000000002,0.34299999999999997,0.502,0.3,0.33799999999999997,0.467,0.526,0.43,0.516,0.47,0.505,0.127,0.183,0.475,0.155,0.491,0.565,11
84,Brandon Nakashima,26,0.306,0.41600000000000004,0.526,0.379,0.392,0.5329999999999999,0.589,0.508,0.512,0.537,0.46299999999999997,0.168,0.231,0.439,0.299,0.672,0.718,30
85,Mikhail Kukushkin,22,0.233,0.318,0.496,0.28600000000000003,0.275,0.373,0.52,0.359,0.45799999999999996,0.489,0.56,0.172,0.237,0.46,0.14400000000000002,0.496,0.65,-21
86,Richard Gasquet,84,0.22899999999999998,0.344,0.512,0.297,0.287,0.43,0.5529999999999999,0.39799999999999996,0.5710000000000001,0.469,0.483,0.153,0.231,0.45399999999999996,0.10300000000000001,0.5329999999999999,0.622,37
87,Feliciano Lopez,64,0.363,0.485,0.493,0.42700000000000005,0.501,0.657,0.536,0.613,0.35100000000000003,0.47700000000000004,0.483,0.19699999999999998,0.284,0.451,0.16,0.33899999999999997,0.467,76
88,James Blake,25,0.251,0.364,0.49,0.313,0.34700000000000003,0.495,0.522,0.45799999999999996,0.42200000000000004,0.478,0.41200000000000003,0.14800000000000002,0.226,0.457,0.184,0.657,0.841,31
89,Jeremy Chardy,27,0.321,0.441,0.47700000000000004,0.384,0.415,0.5479999999999999,0.516,0.514,0.428,0.44799999999999995,0.5489999999999999,0.192,0.308,0.41700000000000004,0.22699999999999998,0.43,0.544,59
90,Pablo Carreno Busta,60,0.231,0.33799999999999997,0.526,0.3,0.276,0.408,0.5489999999999999,0.379,0.506,0.442,0.493,0.14800000000000002,0.20800000000000002,0.486,0.161,0.514,0.623,1
91,Steve Johnson,29,0.304,0.434,0.5,0.374,0.39,0.5489999999999999,0.555,0.509,0.541,0.509,0.575,0.2,0.29600000000000004,0.43200000000000005,0.156,0.606,0.732,59
92,Damir Dzumhur,23,0.19899999999999998,0.285,0.494,0.262,0.23,0.33399999999999996,0.523,0.32799999999999996,0.504,0.627,0.616,0.165,0.226,0.444,0.128,0.758,0.75,45
93,Gilles Muller,22,0.369,0.537,0.5379999999999999,0.45399999999999996,0.491,0.688,0.608,0.628,0.435,0.45799999999999996,0.386,0.193,0.33299999999999996,0.456,0.22899999999999998,0.33299999999999996,0.231,68
94,Andy Murray,277,0.27,0.359,0.519,0.326,0.369,0.48200000000000004,0.562,0.46399999999999997,0.545,0.40399999999999997,0.42700000000000005,0.14,0.19899999999999998,0.469,0.183,0.433,0.435,24
95,Mischa Zverev,23,0.267,0.396,0.473,0.34,0.35100000000000003,0.491,0.491,0.469,0.354,0.508,0.483,0.138,0.259,0.449,0.243,0.195,0.156,15
96,Tommy Paul,39,0.258,0.37799999999999995,0.532,0.332,0.325,0.48,0.573,0.447,0.49,0.47,0.431,0.168,0.23800000000000002,0.47600000000000003,0.282,0.506,0.6459999999999999,38
97,Karen Khachanov,75,0.301,0.409,0.525,0.364,0.384,0.519,0.557,0.484,0.528,0.489,0.44299999999999995,0.166,0.233,0.479,0.18100000000000002,0.33899999999999997,0.293,43
98,Carlos Moya,37,0.225,0.322,0.534,0.287,0.301,0.41600000000000004,0.5539999999999999,0.406,0.441,0.5429999999999999,0.624,0.131,0.21,0.509,0.302,0.652,0.691,16
99,Guido Pella,29,0.23,0.313,0.535,0.28800000000000003,0.28,0.379,0.5660000000000001,0.36700000000000005,0.281,0.5529999999999999,0.695,0.13699999999999998,0.192,0.47100000000000003,0.289,0.452,0.486,19
100,Jannik Sinner,116,0.276,0.377,0.539,0.33399999999999996,0.354,0.488,0.5710000000000001,0.45299999999999996,0.456,0.536,0.5429999999999999,0.17300000000000001,0.23199999999999998,0.499,0.17600000000000002,0.31,0.37200000000000005,30
101,Casper Ruud,116,0.273,0.39,0.56,0.344,0.332,0.474,0.588,0.441,0.473,0.489,0.507,0.18,0.256,0.514,0.28800000000000003,0.519,0.48200000000000004,34
102,Petr Korda,21,0.24600000000000002,0.363,0.525,0.306,0.317,0.455,0.544,0.419,0.35100000000000003,0.627,0.7140000000000001,0.174,0.281,0.49700000000000005,0.163,0.674,0.8,49
103,Hubert Hurkacz,156,0.34600000000000003,0.461,0.513,0.41,0.452,0.5820000000000001,0.5579999999999999,0.5529999999999999,0.494,0.49200000000000005,0.5329999999999999,0.179,0.27399999999999997,0.457,0.13,0.389,0.363,40
104,Jan Lennard Struff,34,0.348,0.46399999999999997,0.48700000000000004,0.408,0.46799999999999997,0.612,0.534,0.5720000000000001,0.46,0.467,0.419,0.214,0.304,0.439,0.2,0.28600000000000003,0.33899999999999997,88
105,Dusan Lajovic,30,0.218,0.337,0.495,0.29600000000000004,0.259,0.408,0.535,0.374,0.528,0.508,0.509,0.141,0.204,0.414,0.183,0.608,0.737,25
106,Nick Kyrgios,120,0.406,0.52,0.513,0.465,0.508,0.632,0.546,0.598,0.433,0.41200000000000003,0.579,0.237,0.345,0.466,0.314,0.507,0.43,102
107,Tim Henman,31,0.299,0.44299999999999995,0.488,0.37200000000000005,0.415,0.581,0.513,0.541,0.486,0.47200000000000003,0.525,0.162,0.294,0.46,0.165,0.605,0.7659999999999999,40
108,Jaume Munar,21,0.218,0.292,0.467,0.273,0.275,0.376,0.502,0.361,0.64,0.573,0.54,0.138,0.16899999999999998,0.41100000000000003,0.344,0.479,0.5,18
109,Daniel Evans,37,0.25,0.368,0.529,0.32,0.316,0.46299999999999997,0.579,0.429,0.349,0.518,0.535,0.161,0.239,0.455,0.223,0.375,0.4,41
110,Benoit Paire,46,0.3,0.444,0.491,0.369,0.446,0.636,0.5710000000000001,0.5770000000000001,0.523,0.584,0.531,0.165,0.273,0.424,0.364,0.46799999999999997,0.455,37
111,Jiri Lehecka,21,0.275,0.406,0.524,0.35,0.344,0.49700000000000005,0.564,0.462,0.486,0.47100000000000003,0.452,0.168,0.27,0.462,0.22699999999999998,0.358,0.42200000000000004,50
112,Thomaz Bellucci,20,0.275,0.38799999999999996,0.504,0.332,0.354,0.488,0.508,0.451,0.46799999999999997,0.578,0.585,0.183,0.278,0.498,0.252,0.46299999999999997,0.632,62
113,Federico Delbonis,29,0.243,0.341,0.512,0.301,0.297,0.414,0.5329999999999999,0.391,0.27399999999999997,0.5529999999999999,0.614,0.17800000000000002,0.255,0.48100000000000004,0.138,0.594,0.581,58
114,Tallon Griekspoor,50,0.306,0.43799999999999994,0.503,0.382,0.38,0.539,0.552,0.5,0.466,0.532,0.489,0.19699999999999998,0.292,0.43200000000000005,0.28300000000000003,0.494,0.586,66
115,Robin Haase,55,0.28300000000000003,0.39299999999999996,0.515,0.344,0.381,0.515,0.555,0.48700000000000004,0.455,0.521,0.657,0.165,0.253,0.47,0.18899999999999997,0.46399999999999997,0.504,45
116,Gilles Simon,67,0.205,0.276,0.519,0.254,0.256,0.354,0.556,0.33799999999999997,0.63,0.348,0.34700000000000003,0.13699999999999998,0.171,0.467,0.138,0.521,0.5870000000000001,22
117,Aslan Karatsev,35,0.247,0.375,0.526,0.32,0.325,0.486,0.561,0.45,0.43799999999999994,0.518,0.478,0.165,0.262,0.479,0.086,0.387,0.431,42
118,Roberto Bautista Agut,86,0.235,0.32799999999999996,0.552,0.299,0.27699999999999997,0.39899999999999997,0.591,0.37200000000000005,0.465,0.504,0.49200000000000005,0.163,0.201,0.478,0.188,0.527,0.645,17
119,Marco Cecchinato,26,0.23600000000000002,0.371,0.534,0.326,0.27699999999999997,0.433,0.555,0.406,0.39899999999999997,0.607,0.693,0.157,0.255,0.489,0.33799999999999997,0.703,0.884,39
120,Jack Sock,27,0.3,0.418,0.499,0.36700000000000005,0.387,0.527,0.528,0.496,0.41700000000000004,0.439,0.45899999999999996,0.183,0.27899999999999997,0.462,0.16,0.38,0.392,62
121,Jim Courier,47,0.256,0.373,0.545,0.321,0.332,0.473,0.586,0.444,0.493,0.483,0.445,0.17,0.266,0.491,0.345,0.5820000000000001,0.631,44
122,Karim Mohamed Maamoun,46,0.192,0.29600000000000004,0.512,0.252,0.242,0.374,0.546,0.33799999999999997,0.39399999999999996,0.45399999999999996,0.441,0.129,0.19399999999999998,0.45899999999999996,0.107,0.506,0.545,8
123,Paolo Lorenzi,21,0.27,0.363,0.515,0.332,0.365,0.491,0.5870000000000001,0.47700000000000004,0.462,0.47,0.385,0.17600000000000002,0.235,0.436,0.379,0.513,0.588,57
124,Marcelo Rios,31,0.237,0.358,0.535,0.3,0.309,0.457,0.565,0.42,0.474,0.639,0.684,0.161,0.256,0.498,0.49,0.693,0.754,28
125,Sebastian Baez,31,0.185,0.275,0.519,0.256,0.19899999999999998,0.307,0.547,0.297,0.465,0.32299999999999995,0.253,0.16899999999999998,0.217,0.439,0.214,0.424,0.38799999999999996,50
126,Stan Wawrinka,140,0.295,0.408,0.511,0.358,0.385,0.523,0.556,0.493,0.47200000000000003,0.49200000000000005,0.467,0.184,0.268,0.461,0.235,0.546,0.579,15
127,Boris Becker,109,0.349,0.47,0.5,0.414,0.488,0.636,0.5539999999999999,0.606,0.439,0.484,0.52,0.215,0.322,0.446,0.278,0.488,0.601,87
128,Fabio Fognini,63,0.196,0.307,0.509,0.268,0.252,0.4,0.544,0.373,0.484,0.41200000000000003,0.358,0.126,0.18899999999999997,0.46,0.28800000000000003,0.365,0.435,6
129,Stefanos Tsitsipas,164,0.305,0.434,0.545,0.38299999999999995,0.391,0.547,0.594,0.516,0.51,0.44799999999999995,0.46399999999999997,0.16899999999999998,0.263,0.478,0.24600000000000002,0.35200000000000004,0.408,41
130,David Goffin,80,0.256,0.35200000000000004,0.524,0.313,0.344,0.46799999999999997,0.5670000000000001,0.44299999999999995,0.49200000000000005,0.47700000000000004,0.53,0.153,0.215,0.473,0.325,0.493,0.478,34
131,Daniil Medvedev,215,0.312,0.415,0.551,0.373,0.40700000000000003,0.536,0.5820000000000001,0.504,0.523,0.47200000000000003,0.5,0.17600000000000002,0.244,0.507,0.449,0.598,0.639,52
132,Pedro Martinez,20,0.19,0.28600000000000003,0.516,0.259,0.217,0.337,0.5429999999999999,0.32299999999999995,0.42,0.54,0.511,0.162,0.223,0.461,0.36200000000000004,0.519,0.474,34
